Row,kat_1_1,kat_2_1,kat_3_1,kat_1_2,kat_2_2,kat_3_2,kat_1_3,kat_2_3,kat_3_3,kat_1_4,kat_2_4,kat_3_4,kat_1_5,kat_2_5,kat_3_5,kat_1_6,kat_2_6,kat_3_6,kat_1_7,kat_2_7,kat_3_7
AT1G25560,0,0,0,0,0,0,1,0,1,1,1,2,1,2,2,1,1,2,2,2,2
AT1G42990,2,1,2,0,0,2,0,0,1,1,0,1,1,0,2,0,1,2,1,2,2
AT1G68840,0,0,0,0,0,0,1,1,2,2,1,2,1,1,1,0,2,2,2,1,2
AT2G28550,2,2,2,2,2,1,1,0,0,0,0,1,0,0,2,1,0,1,1,2,1
AT2G46970,2,1,2,1,0,1,0,0,1,1,0,2,0,0,2,1,0,2,2,1,2
AT3G50330,0,0,0,0,0,0,2,1,1,0,1,1,2,1,1,2,2,1,2,2,2
AT4G16750,2,2,2,2,2,1,2,0,1,0,2,0,1,0,0,1,1,1,0,0,1
AT5G03740,1,1,1,1,0,1,0,0,0,0,0,0,1,1,2,2,2,2,2,2,2
AT5G10970,2,2,2,2,1,1,0,1,0,0,0,0,0,0,1,2,1,1,2,2,1
AT5G13910,0,0,0,0,0,0,0,1,1,1,1,1,2,2,1,2,1,2,2,2,2
AT5G60850,2,2,2,1,0,2,0,1,1,0,1,1,0,0,1,0,0,1,2,2,2
