Row,t0,t1,t2,t3,t4,t5,t6
AT1G03970,2,0,0,1,1,1,2
AT1G07640,0,1,1,0,1,2,2
AT1G09530,1,0,0,1,2,1,2
AT1G10480,2,2,1,1,1,0,0
AT1G12890,2,1,2,1,1,0,0
AT1G15050,1,0,2,1,0,1,2
AT1G18570,1,0,1,2,0,1,2
AT1G19180,0,0,1,2,1,1,2
AT1G21910,0,0,1,1,2,2,1
AT1G27650,1,1,1,0,0,2,2
AT1G27740,1,0,0,1,1,2,2
AT1G28520,0,0,1,1,1,2,2
AT1G30650,0,1,1,0,1,2,2
AT1G34670,2,2,1,0,1,1,0
AT1G43700,1,1,0,0,1,2,2
AT1G50420,0,0,1,1,1,2,2
AT1G59750,1,1,0,1,0,2,2
AT1G65300,1,0,1,0,1,2,2
AT1G65330,2,1,1,1,0,0,2
AT1G65620,2,1,2,1,0,1,0
AT1G67710,1,1,1,0,0,2,2
AT1G72450,0,0,1,1,1,2,2
AT1G73830,0,0,1,1,2,1,2
AT1G74650,1,0,0,1,2,1,2
AT1G75080,0,1,0,1,1,2,2
AT1G75490,0,0,2,1,1,1,2
AT1G77640,0,0,1,1,2,1,2
AT1G79700,0,1,0,1,1,2,2
AT2G04890,0,0,1,1,1,2,2
AT2G14210,1,0,0,1,1,2,2
AT2G18350,0,0,1,1,1,2,2
AT2G23290,1,1,0,0,1,2,2
AT2G24260,0,0,1,1,1,2,2
AT2G28200,1,1,1,0,0,2,2
AT2G29060,1,0,0,1,2,1,2
AT2G31180,0,1,0,1,2,1,2
AT2G34140,0,1,0,1,1,2,2
AT2G36890,1,0,0,1,2,1,2
AT2G40220,1,1,2,2,1,0,0
AT2G44940,2,2,1,1,1,0,0
AT3G04060,0,0,1,1,1,2,2
AT3G11580,1,2,2,1,1,0,0
AT3G14230,0,0,1,1,2,1,2
AT3G15500,0,0,1,1,1,2,2
AT3G16350,0,1,0,1,2,1,2
AT3G16857,1,1,0,0,1,2,2
AT3G18400,2,2,1,1,1,0,0
AT3G24120,0,1,0,1,1,2,2
AT3G29035,1,0,0,2,1,1,2
AT3G56980,1,2,1,2,1,0,0
AT4G00050,1,1,0,0,1,2,2
AT4G01720,0,0,1,1,1,2,2
AT4G18890,2,1,2,1,0,1,0
AT4G28140,2,2,1,1,1,0,0
AT4G30980,0,1,1,0,1,2,2
AT4G36780,1,0,1,0,1,2,2
AT4G37260,1,0,1,0,1,2,2
AT4G37610,0,1,1,0,1,2,2
AT5G06250,0,0,2,1,2,1,1
AT5G07100,0,0,1,1,1,2,2
AT5G13080,1,0,0,2,1,1,2
AT5G13330,1,0,0,1,2,1,2
AT5G13790,1,0,1,0,1,2,2
AT5G14370,1,1,0,0,2,1,2
AT5G17430,1,0,0,2,1,1,2
AT5G21120,1,0,0,1,1,2,2
AT5G25190,0,0,1,1,2,1,2
AT5G44160,0,1,1,0,1,2,2
AT5G46690,2,1,2,1,0,1,0
AT5G46710,1,0,0,1,2,1,2
AT5G47390,1,1,0,0,1,2,2
AT5G53950,0,0,1,1,1,2,2
AT5G57620,1,0,0,1,1,2,2
AT5G59820,2,1,2,1,1,0,0
AT5G60890,2,2,1,1,1,0,0
AT5G61420,1,1,0,0,1,2,2
AT5G61590,0,2,1,1,0,1,2
AT5G66700,1,0,0,1,1,2,2
